Date,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10
2023-06-07,18726.40039,18738.94922,18636.0,18665.59961,260100,18477.12151214285,18493.777974290697,70.21424885117167,174.61386261287407,170.6199386710244,18745.082042008973,18414.427539000004,18083.773035991035,137.02411856826328,18599.0,18593.84961,18534.09961,18534.40039,18285.40039
2023-06-08,18634.55078,18777.90039,18615.59961,18725.34961,286500,18507.917968571423,18512.547681718603,64.1541942929301,170.86601738419995,170.66915441365953,18770.60730011538,18431.305078,18092.00285588462,138.82959438481575,18726.40039,18599.0,18593.84961,18487.75,18321.15039
2023-06-09,18563.40039,18676.65039,18555.40039,18655.90039,221800,18525.703682857136,18519.328042822788,59.84529870329157,160.30666573912094,168.5966566787518,18783.268803908843,18443.735058500002,18104.201313091162,137.57390907161462,18634.55078,18726.40039,18599.0,18534.09961,18499.34961
2023-06-12,18601.5,18633.59961,18559.75,18595.05078,179500,18543.81082571428,18530.28430377975,61.342574391831604,153.2460979745847,165.52654493791837,18799.479364722225,18453.867578000005,18108.255791277785,133.02217342364222,18563.40039,18634.55078,18726.40039,18593.84961,18598.65039
2023-06-13,18716.15039,18728.90039,18631.80078,18631.80078,233200,18574.578682857136,18555.066448609115,65.51026028392056,155.11381989154324,163.44399992864334,18829.97325806018,18475.350097500006,18120.72693693983,132.62061746481055,18601.5,18563.40039,18634.55078,18599.0,18633.84961
2023-06-14,18755.90039,18769.69922,18690.0,18744.59961,261400,18605.63225428571,18581.844307461233,66.84488413236468,157.98039609552507,162.3512791620197,18851.854381183024,18504.057617000006,18156.260852816988,128.8405176458954,18716.15039,18601.5,18563.40039,18726.40039,18534.40039
2023-06-15,18688.09961,18794.09961,18669.05078,18774.44922,263000,18619.11439714285,18596.01168113307,62.408826106152105,153.01733350781433,160.4844900311786,18842.819029983464,18531.965136500006,18221.11124301655,128.5696828140457,18755.90039,18716.15039,18601.5,18634.55078,18487.75
2023-06-16,18826.0,18864.69922,18710.5,18723.30078,272800,18635.353654999995,18626.676790315327,67.17959584518964,158.38570779371003,160.0647335836849,18860.507594903265,18563.095117000004,18265.682639096744,132.00039189875653,18688.09961,18755.90039,18716.15039,18563.40039,18534.09961
2023-06-19,18755.44922,18881.44922,18719.15039,18873.30078,219800,18644.039341428568,18643.846447606615,62.78915419842501,155.15875126221727,159.08353711939137,18870.69816355781,18585.147558500004,18299.5969534422,134.16456604884533,18826.0,18688.09961,18755.90039,18601.5,18593.84961
2023-06-20,18816.69922,18839.69922,18660.65039,18752.34961,211600,18664.203543571424,18666.89348392573,64.93190633678007,155.74835795392937,158.41650128629897,18889.327599507993,18608.582519500003,18327.837439492014,137.37058490249922,18755.44922,18826.0,18688.09961,18716.15039,18599.0
