Date,Close,High,Low,Open,Volume
12-28-23,21778.69922,21801.44922,21678,21715,393100
12-29-23,21731.40039,21770.30078,21676.90039,21737.65039,270900
01-01-24,21741.90039,21834.34961,21680.84961,21727.75,154000
01-02-24,21665.80078,21755.59961,21555.65039,21751.34961,263700
01-03-24,21517.34961,21677,21500.34961,21661.09961,311900
01-04-24,21658.59961,21685.65039,21564.55078,21605.80078,339200
01-05-24,21710.80078,21749.59961,21629.19922,21705.75,309300
01-08-24,21513,21763.94922,21492.90039,21747.59961,231500
01-09-24,21544.84961,21724.44922,21517.84961,21653.59961,228600
01-10-24,21618.69922,21641.84961,21448.65039,21529.30078,217000
01-11-24,21647.19922,21726.5,21593.75,21688,212500
01-12-24,21894.55078,21928.25,21715.15039,21773.55078,294700
01-15-24,22097.44922,22115.55078,21963.55078,22053.15039,345500
01-16-24,22032.30078,22124.15039,21969.80078,22080.5,292400
01-17-24,21571.94922,21851.5,21550.44922,21647.25,456000
01-18-24,21462.25,21539.40039,21285.55078,21414.19922,387300
01-19-24,21622.40039,21670.59961,21575,21615.19922,343100
01-23-24,21238.80078,21750.25,21192.59961,21716.69922,449700
01-24-24,21453.94922,21482.34961,21137.19922,21185.25,407500
01-25-24,21352.59961,21459,21247.05078,21454.59961,418100
01-29-24,21737.59961,21763.25,21429.59961,21433.09961,376700
01-30-24,21522.09961,21813.05078,21501.80078,21775.75,375100
01-31-24,21725.69922,21741.34961,21448.84961,21487.25,410600
02-01-24,21697.44922,21832.94922,21658.75,21780.65039,332500
02-02-24,21853.80078,22126.80078,21805.55078,21812.75,442800
02-05-24,21771.69922,21964.30078,21726.94922,21921.05078,440800
02-06-24,21929.40039,21951.40039,21737.55078,21825.19922,371000
02-07-24,21930.5,22053.30078,21860.15039,22045.05078,346300
02-08-24,21717.94922,22011.05078,21665.30078,22009.65039,491100
02-09-24,21782.5,21804.44922,21629.90039,21727,349200
02-12-24,21616.05078,21831.69922,21574.75,21800.80078,287400
02-13-24,21743.25,21766.80078,21543.34961,21664.30078,365800
02-14-24,21840.05078,21870.84961,21530.19922,21578.15039,359100
02-15-24,21910.75,21953.84961,21794.80078,21906.55078,345400
02-16-24,22040.69922,22068.65039,21968.94922,22020.30078,343900
02-19-24,22122.25,22186.65039,22021.05078,22103.44922,0
02-20-24,22196.94922,22215.59961,22045.84961,22099.19922,295700
02-21-24,22055.05078,22249.40039,21997.94922,22248.84961,364500
02-22-24,22217.44922,22252.5,21875.25,22081.55078,343500
02-23-24,22212.69922,22297.5,22186.09961,22290,226000
02-26-24,22122.05078,22202.15039,22075.15039,22169.19922,207800
02-27-24,22198.34961,22218.25,22085.65039,22090.19922,252200
02-28-24,21951.15039,22229.15039,21915.84961,22214.09961,203000
02-29-24,21982.80078,22060.55078,21860.65039,21935.19922,360200
03-01-24,22338.75,22353.30078,22047.75,22048.30078,351500
03-04-24,22405.59961,22440.90039,22358.30078,22403.5,298800
03-05-24,22356.30078,22416.90039,22269.15039,22371.25,296200
03-06-24,22474.05078,22497.19922,22224.34961,22327.5,312300
03-07-24,22493.55078,22525.65039,22430,22505.30078,379900
03-11-24,22332.65039,22526.59961,22307.25,22517.5,277900
03-12-24,22335.69922,22452.55078,22256,22334.44922,299200
03-13-24,21997.69922,22446.75,21905.65039,22432.19922,493300
03-14-24,22146.65039,22204.59961,21917.5,21982.55078,426700
03-15-24,22023.34961,22120.90039,21931.69922,22064.84961,661500
03-18-24,22055.69922,22123.69922,21916.55078,21990.09961,356300
03-19-24,21817.44922,21978.30078,21793.09961,21946.44922,344200
03-20-24,21839.09961,21930.90039,21710.19922,21843.90039,312400
03-21-24,22011.94922,22080.94922,21941.30078,21989.90039,353200
03-22-24,22096.75,22180.69922,21883.30078,21932.19922,388700
03-26-24,22004.69922,22073.19922,21947.55078,21947.90039,328400
03-27-24,22123.65039,22193.59961,22052.84961,22053.94922,409100
03-28-24,22326.90039,22516,22163.59961,22163.59961,410500
04-01-24,22462,22529.94922,22427.75,22455,0
04-02-24,22453.30078,22497.59961,22388.15039,22458.80078,289500
04-03-24,22434.65039,22521.09961,22346.5,22385.69922,309600
04-04-24,22514.65039,22619,22303.80078,22592.09961,401000
04-05-24,22513.69922,22537.59961,22427.59961,22486.40039,242200
04-08-24,22666.30078,22697.30078,22550.34961,22578.34961,227600
04-09-24,22642.75,22768.40039,22612.25,22765.09961,232400
04-10-24,22753.80078,22775.69922,22673.69922,22720.25,276800
04-12-24,22519.40039,22726.44922,22503.75,22677.40039,357200
04-15-24,22272.5,22427.44922,22259.55078,22339.05078,355500
04-16-24,22147.90039,22213.75,22079.44922,22125.30078,317300
04-18-24,21995.84961,22326.5,21961.69922,22212.34961,456900
04-19-24,22147,22179.55078,21777.65039,21861.5,362500
04-22-24,22336.40039,22375.65039,22198.15039,22336.90039,279300
04-23-24,22368,22447.55078,22349.44922,22447.05078,231500
04-24-24,22402.40039,22476.44922,22384,22421.55078,235900
04-25-24,22570.34961,22625.94922,22305.25,22316.90039,475000
04-26-24,22419.94922,22620.40039,22385.55078,22620.40039,329900
04-29-24,22643.40039,22655.80078,22441.90039,22475.55078,292000
04-30-24,22604.84961,22783.34961,22568.40039,22679.65039,361900
05-02-24,22648.19922,22710.5,22567.84961,22567.84961,445900
05-03-24,22475.84961,22794.69922,22348.05078,22766.34961,438100
05-06-24,22442.69922,22588.80078,22409.44922,22561.59961,320300
05-07-24,22302.5,22499.05078,22232.05078,22489.75,297800
05-08-24,22302.5,22368.65039,22185.19922,22231.19922,277400
05-09-24,21957.5,22307.75,21932.40039,22224.80078,331300
05-10-24,22055.19922,22131.30078,21950.30078,21990.94922,265800
05-13-24,22104.05078,22131.65039,21821.05078,22027.94922,278200
