Price,Close,High,Low,Open,Volume
,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
05-27-25,55352.80078,55831.35156,55037.85156,55458.94922,145400
05-28-25,55417,55521.80078,55235.55078,55328.60156,128300
05-29-25,55546.05078,55782.75,55096.44922,55571.39844,185700
05-30-25,55749.69922,55813.30078,55356.60156,55615.55078,281100
06-02-25,55903.39844,55966.30078,55400.55078,55598.25,211300
06-03-25,55599.94922,56161.39844,55455.80078,56104.80078,212800
06-04-25,55676.85156,55791,55408.35156,55650.35156,151500
06-05-25,55760.85156,56010.14844,55580.44922,55806.75,141300
06-06-25,56578.39844,56695,55534.75,55699.44922,347000
06-09-25,56839.60156,57049.5,56792.69922,57049.5,207500
06-10-25,56629.10156,57015.39844,56564.14844,56993.89844,146000
06-11-25,56459.75,56782.5,56399.39844,56639.85156,135300
06-12-25,56082.55078,56611.05078,55968.5,56480.89844,135300
06-13-25,55527.35156,55688,55149.30078,55149.30078,142000
06-16-25,55944.89844,55999.85156,55381.44922,55554.10156,107700
06-17-25,55714.14844,56067.30078,55643.94922,55975,106300
06-18-25,55828.75,55933.60156,55511.80078,55544.94922,116400
06-19-25,55577.44922,55942.44922,55475.44922,55784.85156,131300
06-20-25,56252.85156,56328.19922,55566.39844,55566.69922,161500
06-23-25,56059.35156,56233.55078,55779.25,55832.35156,86800
06-24-25,56461.89844,56862,56276.14844,56529.44922,132900
06-25-25,56621.14844,56681.39844,56420.64844,56564.5,98700
06-26-25,57206.69922,57255.85156,56558.35156,56693.55078,0
