Date,Open,High,Low,Close,Volume
27-06-2022,3338,3361.7,3306.3999,3312.6499,38084
28-06-2022,3312.6499,3326.25,3274,3318.95,31985
29-06-2022,3270,3332.8999,3270,3291.05,108986
30-06-2022,3270,3310.95,3254,3265.25,41813
01-07-2022,3262,3332.45,3252,3316.1499,34282
04-07-2022,3315,3316.6001,3225.8,3234.6499,113323
05-07-2022,3252,3272,3209,3216.1499,138816
06-07-2022,3216,3267.8999,3202.3999,3260.3,101238
07-07-2022,3269.95,3319,3265,3286.95,77239
08-07-2022,3297,3300.25,3250.05,3264.8501,76501
11-07-2022,3220,3223.05,3105.8501,3113.25,202245
12-07-2022,3125,3136.2,3081,3084.6499,188774
13-07-2022,3108.5,3109.8999,3033.7,3038.55,107114
14-07-2022,3060,3060,2968,2998.7,167339
15-07-2022,3015,3028,2953,2993.55,120629
18-07-2022,3023.3999,3076.45,3015,3060.3501,1742719
19-07-2022,3026,3078.95,3026,3075.1001,103279
20-07-2022,3109.45,3170.8501,3098,3163.95,217944
21-07-2022,3167.1001,3183.55,3144.1001,3177.7,51548
22-07-2022,3180,3197,3142.1001,3171,81444
25-07-2022,3169,3185,3148.3501,3167.3,61457
26-07-2022,3163.95,3166.95,3096.55,3115.8501,96329
27-07-2022,3102,3194.1001,3102,3188.3501,44030
28-07-2022,3214.8999,3264,3201.3501,3260.2,80279
29-07-2022,3290.2,3316.6001,3276,3300.8,55026
01-08-2022,3327.05,3329,3271,3299.2,1310532
02-08-2022,3281,3311.45,3272,3290.05,75259
03-08-2022,3289.5,3349,3276.7,3339.6001,47351
04-08-2022,3352,3387.95,3306.6499,3354.1499,128302
05-08-2022,3354,3377,3354,3365.25,25229
08-08-2022,3361,3378.8999,3335.5,3373.95,86210
10-08-2022,3377.1001,3380.3,3335,3356,72060
11-08-2022,3393,3428,3377,3422.45,124557
12-08-2022,3420,3420.1001,3382,3399.8,112772
16-08-2022,3403.05,3413.5,3387.8,3392.95,22937
17-08-2022,3385,3417,3371,3400.6499,111891
18-08-2022,3399,3399,3361.7,3381.25,137979
19-08-2022,3388,3421,3371.05,3385.25,140465
22-08-2022,3369,3384.45,3347,3354.25,96277
23-08-2022,3324.25,3340.8999,3274.55,3283.75,122593
24-08-2022,3295,3307.8501,3251,3255.3501,53777
25-08-2022,3270.2,3279.95,3213.5,3218.1001,91523
26-08-2022,3234.8501,3257,3218.1001,3221.6499,28323
29-08-2022,3145,3145,3081.3,3133.7,114608
30-08-2022,3148,3226.95,3143.2,3211.6001,117816
01-09-2022,3189.6001,3189.6001,3121.2,3131.55,431542
02-09-2022,3160,3161.3999,3121.5,3129.6499,108411
05-09-2022,3129.6499,3147.45,3113.5,3132.8501,224678
06-09-2022,3134.2,3140.95,3106.1001,3128.8501,67799
07-09-2022,3117,3160.8999,3102,3151.1001,105750
08-09-2022,3164,3183.7,3160.45,3169.8501,96753
09-09-2022,3190.3,3232,3168.8501,3217.3,197742
12-09-2022,3233.8501,3268.7,3226.75,3241.3,90748
13-09-2022,3260,3263.1499,3225,3229.3999,129890
14-09-2022,3135,3142,3114.75,3120.8501,373125
15-09-2022,3127,3140.6499,3101,3104.3501,192170
16-09-2022,3088,3097.95,3001,3008.6499,352662
19-09-2022,3025,3042.95,2988.3501,3028.55,855360
20-09-2022,3050,3079.8999,3031,3041.3999,112804
21-09-2022,3029,3040.8,3000,3001.75,124329
22-09-2022,2986.1499,3029.95,2980,3007.6001,148264
23-09-2022,3006.1001,3021.95,2980.1001,2982.8,145153
26-09-2022,2978,3024.5,2926,2994.75,181320
27-09-2022,3014.45,3025,2976,3018.6499,152031
28-09-2022,2980,3049,2980,3037.3501,129003
29-09-2022,3042,3052.5,2990.7,2997.3501,116665
30-09-2022,2995,3019,2950.1001,3004.6001,167509
03-10-2022,3004.6001,3020.45,2973.8501,2985.7,161101
04-10-2022,3020,3097.5,3020,3092.5,113230
06-10-2022,3103,3124.1001,3092.5,3104.7,185886
07-10-2022,3099,3104.8501,3059,3064.95,190047
10-10-2022,3013.1001,3129.8999,3013.05,3121.2,227444
11-10-2022,3100,3144.55,3054.75,3068.95,1428966
12-10-2022,3093.8,3110,3063.25,3100.75,77306
13-10-2022,3104.6001,3110,3053.3,3101.05,123897
14-10-2022,3136,3149,3071.05,3097.6499,127684
17-10-2022,3082,3127.5,3072.55,3111.6499,1207533
18-10-2022,3145,3153.55,3128.8999,3143.75,41737
19-10-2022,3139.8501,3153.3501,3112.55,3120.75,50767
20-10-2022,3112,3160,3104.5,3154.8501,35915
21-10-2022,3154.8501,3159,3127.6499,3139.3999,93476
24-10-2022,3160,3178,3155,3161.95,42704
25-10-2022,3180,3183.95,3150.8501,3161.8,142516
27-10-2022,3159,3173.3501,3134.6001,3156.1499,42161
28-10-2022,3156.1499,3178.3999,3147.05,3162.95,36819
31-10-2022,3193,3199.3,3178.45,3193.05,80343
01-11-2022,3209,3261.6499,3205.05,3259.6001,52959
02-11-2022,3270,3270,3222.1499,3242.75,146673
03-11-2022,3225,3225.45,3195,3207.1499,1567293
04-11-2022,3207.1499,3220,3168,3216.3,112298
07-11-2022,3225,3242,3196.1499,3234.25,121301
09-11-2022,3236,3245.6001,3202,3215.95,107468
10-11-2022,3175,3225.1499,3172.3999,3206,114990
11-11-2022,3262,3341.25,3253.6001,3316.1001,308454
14-11-2022,3321,3349,3307.3,3334.05,145040
15-11-2022,3325,3341.1499,3291.8,3332.6499,132868
16-11-2022,3334,3367,3322.05,3354.05,196455
17-11-2022,3343,3358.6499,3318.3,3351.3999,46877
18-11-2022,3346,3361.3999,3321.1499,3341.8,138271
21-11-2022,3330,3332.2,3274.7,3282.3,26113
22-11-2022,3272,3318.95,3255.05,3314.25,23411
23-11-2022,3330,3330,3290.75,3310.3999,73213
24-11-2022,3315,3392,3307.05,3378.5,150131
25-11-2022,3378,3402,3348,3388.8501,80720
28-11-2022,3371,3416.2,3365,3397.3999,95814
29-11-2022,3380.25,3428,3380.25,3397.1001,166776
30-11-2022,3390,3413.1499,3375.05,3392.3999,32178
01-12-2022,3421,3479.6499,3421,3475.1001,261887
02-12-2022,3460,3468,3414,3439.25,83358
05-12-2022,3424,3435.8501,3407.3,3425,77725
06-12-2022,3400,3407.8501,3367.8501,3384.3501,50436
07-12-2022,3367,3394.6499,3354.05,3380.6001,45278
08-12-2022,3374,3374,3339.05,3350.3,106443
09-12-2022,3366,3372,3277,3292.6499,68806
12-12-2022,3250,3295,3236.3501,3284.5,80179
13-12-2022,3280.2,3339.3999,3269,3331.8999,36869
14-12-2022,3341,3378.05,3341,3364.7,39334
15-12-2022,3364,3364,3300,3304.55,56212
